,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
150,Carnarvon,AU,-24.8667,113.6333,69.87,68,0,18.41,clear sky
151,Rocha,UY,-34.4833,-54.3333,62.02,89,48,11.52,scattered clouds
152,Hithadhoo,MV,-0.6,73.0833,83.77,71,98,7.2,overcast clouds
153,Winnemucca,US,40.973,-117.7357,57.25,72,75,9.22,broken clouds
154,Norman Wells,CA,65.282,-126.8329,32.04,93,75,2.3,broken clouds
155,Chuzhou,CN,32.3219,118.2978,79.52,87,66,12.57,light rain
156,Fortuna,US,40.5982,-124.1573,60.37,59,71,4.81,broken clouds
157,Avarua,CK,-21.2078,-159.775,75.25,78,20,13.8,few clouds
158,Araouane,ML,18.9048,-3.5265,103.86,12,31,1.43,scattered clouds
159,Buala,SB,-8.145,159.5921,80.1,84,99,9.62,moderate rain
160,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,75,3.44,broken clouds
161,Fairbanks,US,64.8378,-147.7164,39.16,75,90,3.44,overcast clouds
162,Anqiu,CN,36.4342,119.1925,71.24,87,100,16.73,light rain
163,Nikolskoye,RU,59.7035,30.7861,48.09,47,100,10.42,overcast clouds
164,Hanna,CA,51.6334,-111.9018,45.91,83,100,3.0,overcast clouds
165,Sioux Lookout,CA,50.1001,-91.917,61.18,82,20,6.91,few clouds
166,Malgrat De Mar,ES,41.6466,2.7414,76.89,41,27,7.0,scattered clouds
167,Acapulco,MX,16.8634,-99.8901,76.05,82,99,4.21,overcast clouds
168,Monster,NL,52.0258,4.175,71.98,72,100,4.0,overcast clouds
169,Novytsya,UA,48.9635,24.3354,49.53,90,100,11.56,overcast clouds
170,Airai,TL,-8.9266,125.4092,58.64,79,58,3.94,broken clouds
171,Pell City,US,33.5862,-86.2861,73.72,99,90,0.0,mist
172,Torbay,CA,47.6666,-52.7314,65.17,87,75,5.75,broken clouds
173,Prestea,GH,5.4327,-2.1428,83.82,65,90,5.03,overcast clouds
174,Tiarei,PF,-17.5333,-149.3333,73.42,78,39,20.74,light rain
175,Najran,SA,17.4924,44.1277,97.45,10,81,12.62,broken clouds
176,Shimoda,JP,34.6667,138.95,71.89,72,22,14.72,few clouds
177,Urumqi,CN,43.801,87.6005,86.95,17,0,11.18,clear sky
178,Souillac,MU,-20.5167,57.5167,77.36,43,40,14.97,scattered clouds
179,Ranot,TH,7.7777,100.3213,83.5,73,100,10.92,overcast clouds
180,Alekseyevsk,RU,57.8406,108.3492,53.4,66,100,1.54,overcast clouds
